,Disc. urban fabric,Green urban areas,Sport/Leisure facilities,Non-irrigated arable land,Broad-leaved forest,Coniferous forest,Mixed forest,Natural grasslands,Inland marshes,Marine waters,row total,user's accuracy
Disc. urban fabric,60072.0,19.0,123.0,24401.0,86.0,2666.0,3437.0,7560.0,19.0,171.0,98554.0,0.60953385
Green urban areas,8.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.54545456
Sport/Leisure facilities,57.0,0.0,1301.0,147.0,1.0,40.0,22.0,57.0,0.0,13.0,1638.0,0.7942613
Non-irrigated arable land,5489.0,0.0,65.0,419928.0,39.0,1549.0,2875.0,16148.0,34.0,117.0,446244.0,0.94102776
Broad-leaved forest,510.0,1.0,13.0,1698.0,4186.0,1532.0,7040.0,2501.0,40.0,248.0,17769.0,0.23557882
Coniferous forest,646.0,0.0,13.0,2391.0,421.0,78176.0,38815.0,2891.0,132.0,1979.0,125464.0,0.6230951
Mixed forest,1456.0,0.0,25.0,7060.0,797.0,32542.0,62328.0,8645.0,295.0,2384.0,115532.0,0.5394869
Natural grasslands,10271.0,20.0,70.0,55137.0,180.0,8474.0,15142.0,54967.0,147.0,953.0,145361.0,0.3781413
Inland marshes,102.0,0.0,0.0,350.0,2.0,626.0,1082.0,1238.0,2066.0,410.0,5876.0,0.35159972
Marine waters,82.0,0.0,10.0,534.0,65.0,10606.0,7254.0,1130.0,98.0,13761.0,33540.0,0.41028622
column total,78693.0,52.0,1620.0,511646.0,5777.0,136211.0,137997.0,95137.0,2831.0,20036.0,0.0,0.0
producer's accuracy,0.7633716,0.23076923,0.8030864,0.8207393,0.7245975,0.57393306,0.451662,0.5777668,0.72977746,0.6868137,0.0,0.70383537
